"time","diff_return_algotoria","diff_return_meritocratio","diff_return_krishna_tz","diff_return_n","diff_return_multi_knife","diff_return_low_risk","diff_return_bourbaki_pro","diff_return_syndicate","diff_return_crypto_hunter","diff_return_edan","diff_return_bourbaki_ultra","diff_return_utopia","diff_return_optimal_a","diff_return_crypto_trend_usdt","diff_return_phoenix","diff_return_trend_team"
"2025-01-02 05:00",-0.00115224,0.0,-0.00065859,0.13540958,0.0,0.04168005,0.0,0.00906665,0.0,0.02543834,0.0,0.50885856,0.0,0.24262132,0.00407708,-0.00325795
"2025-01-02 06:00",0.00303605,0.0,0.0049751,-0.01480782,0.0,-0.04068239,0.0,-0.00153161,0.00472681,-0.00443016,0.0,-0.34996924,0.0,-0.18493316,0.00054492,0.06477804
"2025-01-02 07:00",-0.00851986,0.00002604,0.00326096,-0.12482657,0.0,-0.00804226,0.0,-0.00013523,-0.00013385,-0.00190709,0.0,0.0017751,0.0,0.00244965,0.00075542,-0.06082473
"2025-01-02 08:00",0.00852644,0.00003216,-0.00204331,-0.00474674,0.0,0.05668324,0.0,0.00317267,0.00018598,0.00796139,0.0,-0.00091591,0.0,0.00313152,-0.01139323,0.00066723
"2025-01-02 09:00",0.00288262,-0.00000269,-0.00301465,0.00121564,0.0,-0.03880183,0.0,0.00394725,0.0002956,0.01512731,0.0,0.0,0.0,0.8561427,0.00050995,0.00083221
"2025-01-02 10:00",0.01331688,0.00032952,-0.00673423,0.1688454,0.0,0.01485612,0.0,0.00763186,-0.00462302,0.02438627,0.0,0.0,0.0,-0.42605776,0.02752181,0.04608191
"2025-01-02 11:00",0.01634409,-0.00001578,0.00351622,0.0378875,0.0,0.00066076,0.0,-0.00035541,0.00017464,0.89834136,0.0,0.0,0.0,-0.02770617,-0.02368559,-0.04153857
"2025-01-02 12:00",-0.01362333,0.00007197,-0.00763823,-0.15894806,0.0,-0.0015215,0.0,0.000273,0.00504224,-0.47278932,0.0,0.0,0.0,0.00790345,0.0067775,0.00009667
"2025-01-02 13:00",0.00259729,0.00002223,0.00052891,0.67607903,0.0,0.00918296,0.0,0.00145476,-0.00484809,0.01176762,0.0,0.9156739,0.0,0.00840742,0.00193747,0.00051524
"2025-01-02 14:00",-0.00671203,-0.00001032,0.00021579,-0.42200375,0.0059745,-0.00356367,0.0,0.00198123,0.00491459,-0.02641999,0.0,-0.15447418,0.0,-0.01645355,-0.00557353,-0.00181547
